name,ballots,u,selection_probability,cum_prob,pruett,hall,over,under
j001_ev_029,121,0.014871,0.001125,0.001125,33,66,0,22
j002_ev_028,182,0.022402,0.001695,0.002821,41,91,0,50
j003_ev_027,155,0.019602,0.001483,0.004304,32,80,0,43
j004_ev_025,92,0.01207,0.000913,0.005218,22,55,0,15
j005_ev_024,208,0.024141,0.001827,0.007045,54,96,0,58
j006_ev_023+j068_ed_148,26,0.003573,0.00027,0.007315,5,16,0,5
j007_ed_158,51,0.006663,0.000504,0.007819,12,30,0,9
j009_ed_145,35,0.005311,0.000402,0.008221,4,24,0,7
j010_ed_144,41,0.003959,0.0003,0.008521,16,16,0,9
j011_ed_135,39,0.004732,0.000358,0.008879,10,20,0,9
j012_ed_137,38,0.005311,0.000402,0.009281,7,24,0,7
j013_ed_130,58,0.007822,0.000592,0.009873,13,36,0,9
j014_ed_141,28,0.00338,0.000256,0.010129,8,15,0,5
j015_ed_113+j112_ed_115,29,0.00309,0.000234,0.010362,8,11,0,10
j016_ed_157,39,0.005697,0.000431,0.010794,7,27,0,5
j017_ed_122,35,0.005311,0.000402,0.011195,5,25,0,5
j018_ed_134+j102_ed_75,26,0.002897,0.000219,0.011415,8,12,0,6
j019_ed_138,46,0.00589,0.000446,0.01186,12,27,0,7
j020_ed_140,32,0.003669,0.000278,0.012138,9,15,0,8
j021_ed_127,56,0.008208,0.000621,0.012759,10,39,0,7
j022_ed_154,32,0.004152,0.000314,0.013074,6,17,0,9
j023_ed_104+j070_ed_61,30,0.003766,0.000285,0.013359,5,14,0,11
j024_ed_49,60,0.006759,0.000512,0.01387,16,26,0,18
j025_ed_35+j056_ed_126,29,0.00338,0.000256,0.014126,9,15,0,5
j026_ed_87+j100_ed_31,28,0.003283,0.000248,0.014374,7,13,0,8
j027_ed_94,30,0.003669,0.000278,0.014652,5,13,0,12
j028_ed_33,35,0.004732,0.000358,0.01501,5,19,0,11
j029_ed_65,59,0.007918,0.000599,0.015609,12,35,0,12
j030_ed_146,36,0.004345,0.000329,0.015938,10,19,0,7
j031_ed_93,32,0.003862,0.000292,0.016231,7,15,0,10
j032_ed_120,27,0.00338,0.000256,0.016486,5,13,0,9
j033_ed_90+j124_ed_44,29,0.003766,0.000285,0.016771,3,13,0,13
j034_ed_123,28,0.003283,0.000248,0.01702,6,12,0,10
j035_ed_86,46,0.005407,0.000409,0.017429,8,18,0,20
j036_ed_156,26,0.002897,0.000219,0.017648,9,13,0,4
j037_ed_114,44,0.005697,0.000431,0.018079,7,22,0,15
j038_ed_147,28,0.002993,0.000227,0.018306,9,12,0,7
j039_ed_72,48,0.005504,0.000417,0.018722,10,19,0,19
j041_ed_153,42,0.005504,0.000417,0.019139,9,24,0,9
j042_ed_152,28,0.003573,0.00027,0.019409,4,13,0,11
j053_ed_67,73,0.009849,0.000745,0.020155,14,43,0,16
j054_ed_77,39,0.003766,0.000285,0.02044,15,15,0,9
j055_ed_111,34,0.004152,0.000314,0.020754,7,16,0,11
j057_ed_98,47,0.00618,0.000468,0.021222,10,27,0,10
j058_ed_132,55,0.007146,0.000541,0.021762,14,33,0,8
j059_ed_149,44,0.004925,0.000373,0.022135,15,22,0,7
j060_ed_71,39,0.005118,0.000387,0.022522,9,23,0,7
j061_ed_62,33,0.005021,0.00038,0.022902,2,21,0,10
j062_ed_101,39,0.004925,0.000373,0.023275,7,19,0,13
j063_ed_70,46,0.005504,0.000417,0.023692,14,25,0,7
j064_ed_95,25,0.002897,0.000219,0.023911,5,10,0,10
j065_ed_38,29,0.003283,0.000248,0.024159,10,15,0,4
j066_ed_109,50,0.006083,0.00046,0.02462,14,27,0,9
j067_ed_42,44,0.00618,0.000468,0.025088,5,25,0,14
j069_ed_107,28,0.00309,0.000234,0.025321,8,12,0,8
j071_ed_58,35,0.003959,0.0003,0.025621,10,16,0,9
j072_ed_124,39,0.004732,0.000358,0.025979,10,20,0,9
j073_ed_155,52,0.007242,0.000548,0.026527,8,31,0,13
j074_ed_79,30,0.003862,0.000292,0.026819,4,14,0,12
j075_ed_91+j082_ed_89,30,0.003959,0.0003,0.027119,3,14,0,13
j076_ed_103,50,0.006759,0.000512,0.027631,7,27,0,16
j077_ed_34,29,0.003669,0.000278,0.027908,6,15,0,8
j078_ed_54,35,0.004635,0.000351,0.028259,8,21,0,6
j079_ed_37,34,0.003669,0.000278,0.028537,12,16,0,6
j080_ed_66,47,0.005987,0.000453,0.02899,10,25,0,12
j081_ed_59,37,0.003766,0.000285,0.029275,11,13,0,13
j083_ed_55,55,0.006277,0.000475,0.02975,16,26,0,13
j084_ed_121,46,0.005794,0.000438,0.030188,9,23,0,14
j085_ed_96,55,0.006277,0.000475,0.030663,15,25,0,15
j086_ed_102,46,0.005504,0.000417,0.03108,12,23,0,11
j087_ed_53,60,0.008111,0.000614,0.031694,5,29,0,26
j088_ed_92,32,0.003669,0.000278,0.031971,6,12,0,14
j089_ed_136,44,0.006083,0.00046,0.032432,7,26,0,11
j090_ed_112,38,0.004152,0.000314,0.032746,8,13,0,17
j091_ed_99,43,0.005601,0.000424,0.03317,6,21,0,16
j092_ed_39,42,0.004345,0.000329,0.033499,12,15,0,15
j093_ed_105,60,0.007918,0.000599,0.034098,12,34,0,14
j094_ed_30,42,0.005214,0.000395,0.034493,12,24,0,6
j095_ed_88,27,0.003476,0.000263,0.034756,3,12,0,12
j096_ed_108,27,0.00338,0.000256,0.035011,5,13,0,9
j097_ed_117,42,0.005021,0.00038,0.035391,9,19,0,14
j098_ed_52,53,0.006952,0.000526,0.035918,9,28,0,16
j101_ed_56,30,0.004056,0.000307,0.036225,4,16,0,10
j103_ed_51,47,0.004925,0.000373,0.036597,13,17,0,17
j104_ed_68,36,0.004828,0.000365,0.036963,4,18,0,14
j105_ed_85+j008_ed_143,39,0.004925,0.000373,0.037335,8,20,0,11
j106_ed_118,38,0.005021,0.00038,0.037715,8,22,0,8
j107_ed_63,47,0.005504,0.000417,0.038132,11,21,0,15
j109_ed_119,66,0.007146,0.000541,0.038673,21,29,0,16
j110_ed_50,50,0.00618,0.000468,0.03914,11,25,0,14
j111_ed_46,37,0.005214,0.000395,0.039535,6,23,0,8
j113_ed_74,43,0.004828,0.000365,0.0399,13,20,0,10
j114_ed_69,46,0.005697,0.000431,0.040331,10,23,0,13
j115_ed_106,56,0.007339,0.000555,0.040887,10,30,0,16
j116_ed_45,55,0.007049,0.000533,0.04142,12,30,0,13
j117_ed_142,38,0.004828,0.000365,0.041786,10,22,0,6
j118_ed_40,31,0.002897,0.000219,0.042005,11,10,0,10
j119_ed_64,47,0.006083,0.00046,0.042465,9,25,0,13
j120_ed_76,43,0.005601,0.000424,0.042889,9,24,0,10
j121_ed_97,46,0.005794,0.000438,0.043328,12,26,0,8
j122_ed_110,54,0.006277,0.000475,0.043803,14,25,0,15
j123_ed_43,40,0.004925,0.000373,0.044175,8,19,0,13
p001_ev_212,315,0.032735,0.002477,0.046653,83,107,0,125
p002_ev_221,286,0.034956,0.002645,0.049298,63,139,0,84
p003_ev_248,295,0.031383,0.002375,0.051673,70,100,0,125
p004_ev_243,312,0.035342,0.002675,0.054348,77,131,0,104
p005_ev_250,317,0.031866,0.002412,0.056759,103,116,0,98
p006_ev_090,305,0.030707,0.002324,0.059083,93,106,0,106
p007_ev_198,278,0.025299,0.001915,0.060998,92,76,1,109
p008_ev_141,340,0.035728,0.002704,0.063702,100,130,1,109
p009_ev_108,318,0.034473,0.002609,0.066311,83,122,0,113
p010_ev_164,314,0.034956,0.002645,0.068956,79,127,0,108
p011_ev_126,289,0.030127,0.00228,0.071236,81,104,0,104
p012_ev_222,299,0.036211,0.00274,0.073976,34,110,0,155
p013_ev_220,300,0.035149,0.00266,0.076636,68,132,0,100
p014_ev_247,283,0.029934,0.002265,0.078902,81,108,0,94
p015_ev_483,306,0.031866,0.002412,0.081313,85,109,0,112
p016_ev_509,301,0.03428,0.002594,0.083908,78,132,0,91
p017_ev_251,307,0.037177,0.002813,0.086721,54,132,0,121
p018_ev_171,312,0.033893,0.002565,0.089286,84,123,0,105
p019_ev_208,304,0.031672,0.002397,0.091683,81,105,0,118
p020_mb_161,294,0.028196,0.002134,0.093817,110,108,0,76
p021_mb_159,298,0.029162,0.002207,0.096024,106,110,0,82
p022_mb_211,296,0.030224,0.002287,0.098311,94,111,0,91
p023_mb_157,298,0.028293,0.002141,0.100452,112,107,0,79
p024_mb_210,295,0.032928,0.002492,0.102944,78,124,0,93
p025_mb_150,295,0.032542,0.002463,0.105407,81,123,1,90
p026_mb_213,296,0.031672,0.002397,0.107804,90,122,0,84
p027_mb_215,300,0.031962,0.002419,0.110223,86,117,0,97
p028_mb_163,295,0.032445,0.002455,0.112678,85,126,0,84
p029_mb_153,299,0.033217,0.002514,0.115192,88,133,0,78
p030_mb_162,297,0.026748,0.002024,0.117216,120,100,0,77
p031_mb_109,299,0.028389,0.002148,0.119365,110,105,0,84
p032_mb_139,146,0.014581,0.001103,0.120468,47,52,0,47
p033_mb_214,296,0.031866,0.002412,0.12288,84,118,0,94
p034_mb_151,299,0.031866,0.002412,0.125291,97,128,0,74
p035_mb_158,295,0.029934,0.002265,0.127557,103,118,0,74
p036_mb_152,295,0.031286,0.002368,0.129925,87,116,0,92
p037_mb_046,299,0.031093,0.002353,0.132278,108,131,0,60
p038_mb_098,300,0.033507,0.002536,0.134813,80,127,0,93
p039_mb_154,295,0.03061,0.002317,0.13713,94,116,0,85
p040_mb_104,298,0.027424,0.002075,0.139205,120,106,0,72
p041_mb_155,296,0.032735,0.002477,0.141683,79,122,0,95
p042_mb_105,298,0.031479,0.002382,0.144065,87,115,0,96
p043_mb_156,299,0.027327,0.002068,0.146133,106,90,0,103
p044_mb_160,298,0.027713,0.002097,0.14823,109,98,0,91
p045_mb_106,299,0.030224,0.002287,0.150518,95,109,0,95
p046_mb_107,296,0.026651,0.002017,0.152535,114,94,0,88
p047_mb_077,294,0.031769,0.002404,0.154939,88,123,0,83
p048_mb_078,295,0.030514,0.002309,0.157248,104,125,0,66
p049_mb_133,297,0.029934,0.002265,0.159514,113,126,0,58
p050_mb_129,299,0.030707,0.002324,0.161837,110,129,0,60
p051_mb_128,299,0.034569,0.002616,0.164454,81,140,0,78
p052_mb_131,298,0.03061,0.002317,0.16677,100,119,0,79
p053_mb_130,295,0.026844,0.002032,0.168802,119,102,0,74
p054_mb_124,300,0.029548,0.002236,0.171038,101,107,0,92
p055_mb_125,292,0.032059,0.002426,0.173464,75,115,0,102
p056_mb_127,298,0.025782,0.001951,0.175415,118,87,0,93
p057_mb_123,298,0.029258,0.002214,0.17763,121,126,0,51
p058_mb_079,294,0.030997,0.002346,0.179975,90,117,0,87
p059_mb_122,299,0.032445,0.002455,0.182431,82,119,0,98
p060_mb_223,300,0.029645,0.002243,0.184674,110,117,0,73
p061_mb_498,298,0.035149,0.00266,0.187334,60,126,0,112
p062_mb_135,298,0.028776,0.002178,0.189512,102,102,0,94
p063_mb_216,297,0.032542,0.002463,0.191975,84,124,0,89
p064_mb_217,297,0.033604,0.002543,0.194518,84,135,0,78
p065_mb_218,298,0.03061,0.002317,0.196834,93,112,0,93
p066_mb_219,298,0.029355,0.002222,0.199056,104,110,0,84
p067_mb_134,298,0.029645,0.002243,0.201299,101,110,0,87
p068_mb_039,295,0.032831,0.002485,0.203784,87,132,0,76
p069_mb_484,292,0.031093,0.002353,0.206137,85,115,0,92
p070_mb_493,300,0.034376,0.002602,0.208739,85,141,0,74
p071_mb_224,297,0.032348,0.002448,0.211187,87,125,0,85
p072_mb_226,299,0.031093,0.002353,0.21354,83,106,0,110
p073_mb_228,298,0.029741,0.002251,0.215791,111,121,0,66
p074_mb_231,295,0.029355,0.002222,0.218012,103,112,0,80
p075_mb_232,299,0.034087,0.00258,0.220592,78,132,0,89
p076_mb_233,298,0.030224,0.002287,0.222879,99,114,0,85
p077_mb_181,296,0.032059,0.002426,0.225305,85,121,0,90
p078_mb_182,296,0.030224,0.002287,0.227593,96,113,0,87
p079_mb_183,298,0.030997,0.002346,0.229938,96,119,0,83
p080_mb_186,297,0.029452,0.002229,0.232167,95,103,0,99
p081_mb_184,296,0.03119,0.00236,0.234528,91,118,0,87
p082_mb_185,295,0.031962,0.002419,0.236947,92,128,0,75
p083_ev_492,205,0.02443,0.001849,0.238795,31,79,0,95
p084_ev_500,150,0.014677,0.001111,0.239906,43,45,0,62
p085_ev_510,255,0.027424,0.002075,0.241982,60,89,0,106
p086_ev_257,175,0.01854,0.001403,0.243385,51,68,0,56
p087_mb_179,295,0.026072,0.001973,0.245358,119,94,0,82
p088_mb_110,299,0.034473,0.002609,0.247967,87,145,0,67
p089_mb_057,297,0.027713,0.002097,0.250064,116,106,0,75
p090_mb_111,299,0.032059,0.002426,0.25249,98,131,1,69
p091_mb_112,299,0.03061,0.002317,0.254807,98,116,0,85
p092_mb_113,300,0.031286,0.002368,0.257174,99,123,0,78
p093_mb_117,298,0.031962,0.002419,0.259593,94,127,0,77
p094_mb_187,298,0.030031,0.002273,0.261866,92,105,0,101
p095_mb_225,297,0.031093,0.002353,0.264219,93,118,0,86
p096_mb_227,299,0.026265,0.001988,0.266207,119,92,0,88
p097_mb_229,300,0.027037,0.002046,0.268253,114,94,0,92
p098_mb_230,297,0.032638,0.00247,0.270723,88,129,2,78
p099_mb_116,296,0.032735,0.002477,0.2732,79,122,0,95
p100_mb_175,299,0.027424,0.002075,0.275276,121,106,0,72
p101_mb_115,298,0.03428,0.002594,0.27787,73,130,0,95
p102_mb_056,297,0.032831,0.002485,0.280355,93,136,0,68
p103_mb_055,295,0.03428,0.002594,0.282949,79,139,0,77
p104_mb_054,294,0.030417,0.002302,0.285251,92,113,0,89
p105_mb_041,186,0.022113,0.001673,0.286924,44,87,0,55
p106_mb_178,298,0.031866,0.002412,0.289336,89,121,0,88
p107_mb_177,299,0.029355,0.002222,0.291557,106,111,0,82
p108_mb_180,296,0.030803,0.002331,0.293889,98,121,0,77
p109_mb_118,296,0.032059,0.002426,0.296315,87,123,0,86
p110_mb_120,295,0.032059,0.002426,0.298741,84,121,0,90
p111_mb_176,295,0.031672,0.002397,0.301138,88,121,0,86
p112_mb_114,297,0.030707,0.002324,0.303462,103,124,0,70
p113_mb_474,296,0.034956,0.002645,0.306107,67,133,0,96
p114_mb_502,300,0.031576,0.00239,0.308497,97,124,0,79
p115_mb_475,300,0.030997,0.002346,0.310843,87,108,0,105
p116_mb_242,296,0.032638,0.00247,0.313313,69,111,0,116
p117_mb_241,297,0.029162,0.002207,0.315519,113,118,0,66
p118_mb_240,291,0.027424,0.002075,0.317595,105,98,1,87
p119_mb_239,295,0.030321,0.002295,0.31989,89,108,0,98
p120_mb_238,295,0.030127,0.00228,0.32217,97,114,0,84
p121_mb_237,296,0.03119,0.00236,0.32453,79,106,0,111
p122_mb_235,296,0.032059,0.002426,0.326956,94,130,0,72
p123_mb_234,294,0.033121,0.002507,0.329463,66,115,0,113
p124_mb_196,294,0.031479,0.002382,0.331845,80,112,0,102
p125_mb_062,297,0.033797,0.002558,0.334403,81,134,0,82
p126_mb_061,298,0.032542,0.002463,0.336865,93,132,0,73
p127_mb_059,299,0.034569,0.002616,0.339482,75,134,0,90
p128_mb_042,296,0.032928,0.002492,0.341974,89,134,0,73
p129_mb_191,295,0.032445,0.002455,0.344429,72,113,0,110
p130_mb_192,295,0.029258,0.002214,0.346643,93,101,0,101
p131_mb_193,299,0.03119,0.00236,0.349004,97,121,0,81
p132_mb_189,299,0.029162,0.002207,0.351211,104,107,0,88
p133_mb_188,297,0.028776,0.002178,0.353388,111,112,0,74
p134_mb_195,296,0.032252,0.002441,0.355829,82,120,0,94
p135_mb_058,292,0.02752,0.002083,0.357912,113,106,0,73
p136_mb_194,296,0.029258,0.002214,0.360126,103,110,0,83
p137_mb_190,295,0.028196,0.002134,0.36226,108,105,0,82
p138_mb_060,292,0.031286,0.002368,0.364628,91,123,0,78
p139_mb_490,295,0.029452,0.002229,0.366856,93,103,0,99
p140_mb_491,297,0.030417,0.002302,0.369158,87,105,0,105
p141_mb_249,298,0.031769,0.002404,0.371563,90,121,0,87
p142_mb_246,293,0.032348,0.002448,0.374011,77,119,0,97
p143_mb_245,295,0.029162,0.002207,0.376218,100,107,0,88
p144_mb_244,297,0.032348,0.002448,0.378666,91,129,0,77
p145_mb_165,297,0.030707,0.002324,0.38099,98,119,0,80
