name,ballots,u,selection_probability,cum_prob,pruett,hall,over,under
p146_mb_087,295,0.031962,0.002419,0.383408,90,126,0,79
p147_mb_166,298,0.031962,0.002419,0.385827,87,120,0,91
p148_mb_167,297,0.028679,0.00217,0.387998,104,104,0,89
p149_mb_168,297,0.029065,0.0022,0.390197,110,114,0,73
p150_mb_169,295,0.028003,0.002119,0.392317,116,111,0,68
p151_mb_170,294,0.029838,0.002258,0.394575,101,116,0,77
p152_mb_069,298,0.032638,0.00247,0.397045,92,132,0,74
p153_mb_103,299,0.030321,0.002295,0.399339,107,122,0,70
p154_mb_081,296,0.031286,0.002368,0.401707,94,122,0,80
p155_mb_086,299,0.030031,0.002273,0.40398,112,124,0,63
p156_mb_043,299,0.028969,0.002192,0.406172,108,109,0,82
p157_mb_065,297,0.025203,0.001907,0.408079,133,97,0,67
p158_mb_066,297,0.031576,0.00239,0.410469,98,128,0,71
p159_mb_067,299,0.029838,0.002258,0.412727,109,119,0,71
p160_mb_068,292,0.028389,0.002148,0.414876,107,109,0,76
p161_mb_080,299,0.030997,0.002346,0.417221,101,123,0,75
p162_mb_255,295,0.030997,0.002346,0.419567,79,105,0,111
p163_mb_252,296,0.031866,0.002412,0.421979,95,129,0,72
p164_mb_044,296,0.031769,0.002404,0.424383,90,123,0,83
p165_mb_072,295,0.031479,0.002382,0.426765,86,117,0,92
p166_mb_073,300,0.032059,0.002426,0.429192,91,123,0,86
p167_mb_091,297,0.032059,0.002426,0.431618,95,130,1,71
p168_mb_074,299,0.031093,0.002353,0.433971,105,128,0,66
p169_mb_063,297,0.028582,0.002163,0.436134,112,111,0,74
p170_mb_088,295,0.029741,0.002251,0.438385,96,109,0,90
p171_mb_089,298,0.030031,0.002273,0.440657,99,112,1,86
p172_mb_075,298,0.031286,0.002368,0.443025,101,127,0,70
p173_mb_076,294,0.032831,0.002485,0.44551,82,128,0,84
p174_mb_506,299,0.030321,0.002295,0.447804,94,109,0,96
p175_mb_507,299,0.029645,0.002243,0.450048,102,110,0,87
p176_mb_505,299,0.029258,0.002214,0.452262,96,100,0,103
p177_mb_504,297,0.033604,0.002543,0.454805,74,125,0,98
p178_mb_173,293,0.033024,0.002499,0.457304,80,129,0,84
p179_mb_174,296,0.030127,0.00228,0.459584,98,114,0,84
p180_mb_256,289,0.033217,0.002514,0.462098,69,124,0,96
p181_mb_254,299,0.028969,0.002192,0.464291,114,115,0,70
p182_mb_209,296,0.028969,0.002192,0.466483,97,101,0,98
p183_mb_201,298,0.027424,0.002075,0.468558,99,85,0,114
p184_mb_092,297,0.031093,0.002353,0.470911,87,112,0,98
p185_mb_199,291,0.030803,0.002331,0.473243,79,107,0,105
p186_mb_200,297,0.030127,0.00228,0.475523,101,116,0,80
p187_mb_202,296,0.027424,0.002075,0.477598,116,104,0,76
p188_mb_203,299,0.02781,0.002105,0.479703,105,94,0,100
p189_mb_204,292,0.028003,0.002119,0.481822,101,99,0,92
p190_mb_205,296,0.029934,0.002265,0.484087,98,112,0,86
p191_mb_206,298,0.029452,0.002229,0.486316,104,111,0,83
p192_mb_207,296,0.033893,0.002565,0.488881,73,128,0,95
p193_mb_481,295,0.032348,0.002448,0.491329,77,117,0,101
p194_mb_515,299,0.0309,0.002338,0.493668,96,117,0,86
p195_mb_512,295,0.030803,0.002331,0.495999,94,118,0,83
p196_mb_497,298,0.030417,0.002302,0.498301,100,117,0,81
p197_mb_496,298,0.032831,0.002485,0.500786,83,125,0,90
p198_mb_495,300,0.031576,0.00239,0.503175,112,139,0,49
p199_mb_501,298,0.030031,0.002273,0.505448,96,109,0,93
p200_mb_513,294,0.030997,0.002346,0.507794,83,110,0,101
p201_mb_514,290,0.0309,0.002338,0.510132,80,110,0,100
p202_mb_052,297,0.033024,0.002499,0.512631,85,130,0,82
p203_mb_040,295,0.034569,0.002616,0.515248,72,135,0,88
p204_mb_051,300,0.035052,0.002653,0.5179,78,141,0,81
p205_mb_053,294,0.031479,0.002382,0.520283,87,119,0,88
p206_mb_097,298,0.030127,0.00228,0.522563,95,109,0,94
p207_mb_197,298,0.029355,0.002222,0.524784,105,111,0,82
p208_mb_064,296,0.033024,0.002499,0.527283,83,129,0,84
p209_mb_093,298,0.032735,0.002477,0.529761,90,131,0,77
p210_mb_094,294,0.030127,0.00228,0.532041,102,120,0,72
p211_mb_095,291,0.032348,0.002448,0.534489,80,124,0,87
p212_mb_096,297,0.031479,0.002382,0.536871,97,126,0,74
p213_mb_485,290,0.036018,0.002726,0.539597,55,138,0,97
p214_mb_486,299,0.028486,0.002156,0.541753,102,98,0,99
p215_mb_172,296,0.0309,0.002338,0.544091,84,108,0,104
p216_mb_482,300,0.033797,0.002558,0.546649,87,137,0,76
p217_mb_478,297,0.035342,0.002675,0.549324,64,133,0,100
p218_mb_148,294,0.030997,0.002346,0.551669,98,125,0,71
p219_mb_149,296,0.030997,0.002346,0.554015,98,123,0,75
p220_mb_140,208,0.024044,0.00182,0.555835,54,95,2,57
p221_mb_142,295,0.029548,0.002236,0.558071,100,111,0,84
p222_mb_143,297,0.027713,0.002097,0.560168,120,110,0,67
p223_mb_147,299,0.028679,0.00217,0.562339,106,104,0,89
p224_mb_082,299,0.034666,0.002623,0.564962,69,129,0,101
p225_mb_049,298,0.035052,0.002653,0.567615,76,141,0,81
p226_mb_121,297,0.030803,0.002331,0.569946,96,118,0,83
p227_mb_476,298,0.033314,0.002521,0.572467,83,130,0,85
p228_mb_138,293,0.030803,0.002331,0.574798,89,115,0,89
p229_mb_477,299,0.0309,0.002338,0.577137,93,114,1,91
p230_mb_083,297,0.031093,0.002353,0.57949,99,124,0,74
p231_mb_144,592,0.059,0.004465,0.583955,196,215,0,181
p232_mb_479,299,0.032445,0.002455,0.586411,97,134,0,68
p233_mb_480,298,0.030997,0.002346,0.588756,94,117,0,87
p234_mb_137,300,0.031866,0.002412,0.591168,94,124,0,82
p235_mb_145,300,0.03061,0.002317,0.593484,103,120,0,77
p236_mb_146,299,0.031769,0.002404,0.595889,92,122,1,84
p237_mb_084,187,0.022692,0.001717,0.597606,44,92,0,51
p238_mb_085,300,0.026844,0.002032,0.599638,130,108,0,62
p239_mb_136,298,0.028679,0.00217,0.601808,114,113,0,71
p240_mb_099,299,0.031576,0.00239,0.604198,105,133,0,61
p241_mb_100,298,0.030997,0.002346,0.606543,95,118,0,85
p242_mb_102,296,0.032155,0.002433,0.608977,97,134,0,65
p243_mb_071,299,0.033604,0.002543,0.61152,79,128,0,92
p244_mb_070,300,0.035149,0.00266,0.61418,84,148,0,68
p245_mb_101,299,0.032542,0.002463,0.616643,97,135,0,67
p246_mb_119,295,0.033507,0.002536,0.619178,79,131,0,85
p247_mb_464,184,0.019892,0.001505,0.620684,58,80,1,45
p248_mb_462,294,0.032831,0.002485,0.623168,71,117,0,106
p249_mb_463,300,0.032831,0.002485,0.625653,89,129,0,82
p250_mb_471,297,0.031672,0.002397,0.62805,90,121,0,86
p251_mb_468,298,0.032155,0.002433,0.630484,78,113,0,107
p252_mb_470,295,0.031093,0.002353,0.632837,79,106,0,110
p253_mb_466,299,0.032155,0.002433,0.63527,87,121,0,91
p254_mb_489,297,0.031479,0.002382,0.637652,83,112,0,102
p255_mb_472,297,0.035245,0.002667,0.64032,69,137,0,91
p256_mb_448,298,0.034859,0.002638,0.642958,78,141,0,79
p257_mb_449,297,0.031383,0.002375,0.645333,85,113,0,99
p258_mb_450,297,0.036597,0.00277,0.648103,60,142,0,95
p259_mb_517,299,0.031769,0.002404,0.650507,93,123,0,83
p260_mb_494,296,0.029355,0.002222,0.652728,91,99,0,106
p261_mb_453,298,0.030031,0.002273,0.655001,90,103,0,105
p262_mb_454,300,0.036114,0.002733,0.657734,57,131,0,112
p263_mb_353,296,0.033024,0.002499,0.660233,67,113,0,116
p264_mb_352,298,0.032059,0.002426,0.66266,76,110,0,112
p265_mb_351,300,0.031962,0.002419,0.665078,87,118,0,95
p266_mb_350,299,0.034183,0.002587,0.667665,67,122,0,110
p267_mb_452,296,0.034666,0.002623,0.670289,58,121,0,117
p268_mb_503,297,0.031286,0.002368,0.672657,84,111,0,102
p269_mb_431,297,0.032445,0.002455,0.675112,74,113,0,110
p270_mb_432,298,0.035149,0.00266,0.677772,74,140,0,84
p271_mb_433,299,0.036114,0.002733,0.680505,66,141,0,92
p272_mb_434,232,0.025106,0.0019,0.682405,75,103,0,54
p273_mb_435,294,0.033507,0.002536,0.684941,67,120,0,107
p274_mb_436,296,0.033797,0.002558,0.687499,64,118,0,114
p275_mb_508,298,0.034376,0.002602,0.6901,81,139,0,78
p276_mb_438,208,0.022789,0.001725,0.691825,56,84,0,68
p277_mb_439,298,0.033507,0.002536,0.694361,88,137,0,73
p278_mb_440,297,0.033507,0.002536,0.696896,86,136,0,75
p279_mb_516,298,0.030321,0.002295,0.699191,92,108,0,98
p280_mb_444,298,0.029258,0.002214,0.701405,94,99,0,105
p281_mb_445,290,0.031383,0.002375,0.70378,79,114,0,97
p282_mb_446,298,0.034183,0.002587,0.706367,69,125,0,104
p283_mb_447,299,0.03399,0.002572,0.70894,73,126,0,100
p284_mb_511,298,0.0337,0.00255,0.71149,76,127,0,95
p285_mb_429,296,0.035052,0.002653,0.714143,68,135,0,93
p286_mb_442,298,0.034376,0.002602,0.716744,71,129,0,98
p287_mb_465,296,0.0337,0.00255,0.719295,70,123,0,103
p288_mb_473,295,0.034956,0.002645,0.72194,65,132,0,98
p289_mb_427,295,0.029934,0.002265,0.724205,86,101,0,108
p290_mb_428,297,0.033411,0.002528,0.726734,72,121,0,104
p291_mb_458,296,0.034473,0.002609,0.729343,71,132,0,93
p292_mb_455,293,0.030514,0.002309,0.731652,78,101,0,114
p293_mb_456,295,0.035342,0.002675,0.734327,62,133,0,100
p294_mb_457,296,0.035342,0.002675,0.737001,70,140,0,86
p295_mb_419,294,0.0337,0.00255,0.739552,61,116,0,117
p296_mb_418,297,0.032928,0.002492,0.742044,69,113,0,115
p297_mb_469,295,0.031576,0.00239,0.744433,69,101,0,125
p298_mb_461,296,0.03428,0.002594,0.747028,61,120,0,115
p299_mb_460,299,0.038915,0.002945,0.749973,57,161,0,81
p300_mb_451,296,0.032348,0.002448,0.752421,83,122,0,91
p301_ed_420,281,0.0337,0.00255,0.754971,56,124,0,101
p302_mb_354,299,0.034956,0.002645,0.757617,71,134,0,94
p303_ed_408,417,0.048281,0.003654,0.76127,82,165,0,170
p304_ed_409,427,0.044998,0.003405,0.764676,108,147,0,172
p305_ed_410,394,0.044612,0.003376,0.768052,77,145,0,172
p306_ed_411,294,0.031479,0.002382,0.770434,78,110,0,106
p307_ed_422,307,0.033024,0.002499,0.772934,73,108,0,126
p308_ed_423,322,0.036211,0.00274,0.775674,77,130,0,115
p309_ed_424,298,0.032059,0.002426,0.7781,80,114,0,104
p310_ed_425,341,0.038625,0.002923,0.781023,76,135,0,130
p311_ed_437,359,0.041522,0.003142,0.784166,73,144,0,142
p312_ed_390,415,0.051564,0.003902,0.788068,84,203,0,128
p313_ed_394,434,0.050888,0.003851,0.791919,92,185,0,157
p314_ed_391,332,0.034859,0.002638,0.794557,96,125,0,111
p315_ed_392,326,0.037756,0.002857,0.797415,82,147,0,97
p316_ed_393,388,0.045191,0.00342,0.800835,71,151,0,166
p317_ed_413,361,0.046929,0.003552,0.804386,78,203,0,80
p318_ed_415,396,0.04297,0.003252,0.807638,105,154,0,137
p319_ed_416,414,0.047702,0.00361,0.811248,90,170,0,154
p320_ed_441,316,0.036694,0.002777,0.814025,76,140,0,100
p321_ed_398,364,0.04355,0.003296,0.817321,74,161,0,129
p322_ed_443,445,0.05224,0.003953,0.821274,81,177,0,187
p323_ed_399,378,0.045288,0.003427,0.824702,62,153,0,163
p324_ed_396,445,0.050985,0.003858,0.82856,103,186,0,156
p325_ed_417,343,0.039204,0.002967,0.831527,68,131,0,144
p326_ed_400,323,0.039108,0.00296,0.834487,62,144,0,117
p328_ed_401,428,0.048764,0.00369,0.838177,92,169,0,167
p329_ed_402,303,0.033893,0.002565,0.840742,70,118,0,115
p330_ed_403,419,0.056779,0.004297,0.845039,78,247,0,94
p331_ed_404,411,0.04973,0.003763,0.848803,70,174,0,167
p332_ed_405,238,0.029162,0.002207,0.85101,25,89,0,124
p333_ed_377,331,0.035632,0.002697,0.853706,84,122,0,125
p334_ed_378,400,0.046543,0.003522,0.857228,90,172,0,138
p335_ed_379,445,0.052723,0.00399,0.861218,96,197,0,152
p336_ed_380,448,0.051854,0.003924,0.865143,92,181,0,175
p337_ed_381,316,0.038818,0.002938,0.86808,60,146,0,110
p338_ed_382,297,0.036114,0.002733,0.870814,58,135,0,104
p339_mb_383,295,0.034569,0.002616,0.87343,68,131,0,96
p340_mb_384,192,0.024141,0.001827,0.875257,33,91,0,68
p341_ed_412,281,0.035728,0.002704,0.877961,50,139,0,92
p342_ed_270,279,0.036018,0.002726,0.880686,44,138,0,97
p343_mb_271,446,0.051854,0.003924,0.884611,103,194,0,149
p344_mb_272,295,0.035921,0.002718,0.887329,58,135,0,102
p345_mb_426,296,0.034376,0.002602,0.889931,70,130,0,96
p346_mb_348,445,0.051468,0.003895,0.893826,92,180,0,173
p347_ed_349,421,0.049054,0.003712,0.897538,88,175,1,157
p348_ed_356,402,0.046543,0.003522,0.90106,82,162,0,158
p349_ed_357,384,0.045577,0.003449,0.90451,79,167,0,138
p350_ed_268,240,0.028582,0.002163,0.906673,55,111,0,74
p351_ed_267,362,0.042487,0.003215,0.909888,92,170,0,100
p352_ed_421,181,0.021727,0.001644,0.911532,51,95,0,35
p353_ed_265,430,0.048764,0.00369,0.915223,98,173,0,159
p354_ed_266,353,0.038915,0.002945,0.918168,88,138,0,127
p355_ed_358,433,0.053978,0.004085,0.922253,77,203,0,153
p356_ed_359,409,0.048861,0.003698,0.925951,97,194,0,118
p357_ed_263,357,0.040942,0.003098,0.929049,85,152,0,120
p358_ed_355,198,0.022306,0.001688,0.930737,38,71,0,89
p359_ed_376,179,0.021727,0.001644,0.932381,45,91,0,43
p360_ed_375,236,0.029065,0.0022,0.934581,57,122,0,57
p361_ed_374,201,0.022306,0.001688,0.936269,54,84,0,63
p362_ed_373,307,0.038625,0.002923,0.939192,53,146,2,106
p363_ed_372,316,0.039301,0.002974,0.942166,68,159,0,89
p364_ed_371,301,0.033411,0.002528,0.944695,73,118,0,110
p365_ed_370,317,0.03708,0.002806,0.947501,60,127,0,130
p366_ed_369,302,0.034183,0.002587,0.950088,63,115,0,124
p367_ed_368,314,0.035342,0.002675,0.952763,87,139,0,88
p368_ed_367,281,0.033217,0.002514,0.955277,55,118,0,108
p369_ed_366,292,0.031672,0.002397,0.957674,76,112,0,104
p370_ed_365,275,0.028776,0.002178,0.959851,75,98,0,102
p371_ed_430,286,0.032638,0.00247,0.962321,66,118,0,102
p372_ed_386,410,0.045577,0.003449,0.96577,113,175,0,122
p374_ed_264,447,0.051275,0.00388,0.969651,107,191,0,149
p376_mb_261,150,0.018733,0.001418,0.971069,28,72,0,50
p377_mb_260,299,0.038625,0.002923,0.973992,44,145,1,109
p378_mb_259,296,0.032059,0.002426,0.976418,60,96,0,140
p379_mb_258,294,0.03428,0.002594,0.979012,58,119,0,117
p380_mb_388,207,0.024237,0.001834,0.980846,62,106,0,39
p381_mb_279,146,0.01825,0.001381,0.982228,28,71,0,47
p382_mb_395,300,0.034569,0.002616,0.984844,57,115,0,128
p383_mb_273,296,0.035438,0.002682,0.987526,56,127,0,113
p384_mb_362,298,0.034569,0.002616,0.990142,67,127,0,104
p385_mb_361,293,0.0309,0.002338,0.99248,76,103,0,114
x001_ev_191,186,0.018637,0.00141,0.993891,69,76,0,41
x002_ev_192,176,0.020857,0.001578,0.995469,43,83,0,50
x003_ev_265,86,0.009946,0.000753,0.996222,18,35,0,33
x004_ev_264,155,0.015257,0.001155,0.997377,57,60,0,38
x005_ev_263,141,0.016512,0.00125,0.998626,45,75,0,21
x006_ev_262,87,0.010912,0.000826,0.999452,20,46,0,21
x007_ev_261+j108_ed_41,29,0.003862,0.000292,0.999744,4,15,0,10
x008_ev_259+j099_ed_78,28,0.00338,0.000256,1,6,13,0,9
